Fraternity(s),Sorority,Occasion,Date,Time,Location,Message
Kappa Alpha,Alpha Phi,Bowling Green Football Game,Tomorrow,Dawn,House,The Jackets are back at Bobby Dodd Stadium TOMORROW 🔥🏈and you know what that means…🤝many many drinks 🍹🍺 and groovy music 🕺 at the KAPPA ALPHA HOUSE 🤑🤑 tomorrow at dawn. Come for an unforgettable tailgate to prepare for the JACKETS 🐝to send bowling 🎳 green🟢 home with a fat L 🥱 see you all tomorrow 😍
Kappa Alpha,Alpha Phi,Kappalina Wine Night,Thursday,Sunday,House,"Good evening sweet ladies of Alpha Phi, If you didn’t already know 🤑, we are hosting our Kappalina Wine Night this Thursday🍷. We would be delighted to see all of your gorgeous faces starting at sundown 🌅 for an unforgettable night 😍 see you there 😘"
Kappa Alpha,Alpha Phi,SC State Football Game,Tomorrow,10am,House,"Hellooooo Ladiessssss of Alpha Phi 😘😍😍, It’s almost time 🕰 for our first football game at Bobby Dodd tomorrow 🏈 and we can’t wait to cheer on the JACKETS against sc state 🤮🤡 We are having a tailgate 😜 at the KA house tomorrow starting at 10am and we would love for you all to join🤑 There will be many many potent drinks 🍹 and groovy music 🎶🕺💃. You know what they say: the early bird gets the beer 🍻. See you all tomorrow and go JACKETS 🐝🐝🐝🐝🐝😩😩"
Kappa Alpha,Alpha Phi,Joint Tailgate Football Game,Friday,2:45pm,House,"Good evening enchanting ladies of Alpha Phi, Although wet weekend💦 may be behind us, we wanna keep it drenched this Friday at our joint tailgate with a few other fraternities before Brent Key🔑 and the boys🐝 shut Bootyville down in the Benz🤑. Busses are leaving from outside of our house at 2:45pm and 3:15pm, so make sure to get here to hop on those to have the time of your life. If you made the wrong choice and decided not to block with us, you can just grab your wristband  and head over to KA. See y’all Friday. Go Jackets 🔥🏈🐝"
Phi Sig,Alpha Phi,UGA Game,Gameday,4pm,825 Techwood Dr ,"Ladies🙋‍♀️💃🙆‍♀️ of APHI😍🙈, IT’S TIME ⏰⏲️⌛️ FOR THE BIGGEST 😲👆GAME 🏈🏟️ OF THE YEAR🗓️📆 and the brothers🧑🧍of Phi Sig 🔛🔝🙉 are ready to SEND ✉️📪THOSE INBRED🤢🤮 DOGS 🐶🐕🐾 INTO THE GRAVE ☠️🪦 WHERE THEY BELONG 🐝🐝🐝! Come🏃‍♀️💨 to the house (825 Techwood Dr 🏡🏠) on game-day 🏈 at 4pm 🕓⌚️ to enjoy MAI-TAIS 🍷🍹, MIMOSAS 🥂🍸, and a SHARED HATE 😡🤬 FOR THOSE 1200 SAT 🤓😵‍💫 BRAINDEAD 🚫🧠 GOOD-FOR-NOTHING 🙅‍♀️🙅 FAKE ❌ ENGINEERS 👷👷‍♀️! ROLL DAMN BEES 🐝🐝🐝🐝🐝🐝🐝🐝🐝🐝🐝!"
Phi Sig,Alpha Phi,Drinking Through Ages,Friday,10pm,825 Techwood Dr ,"🎃HAPPY HALLOWEEN👻 and Good morning 🙋‍♂️to the stunning ladies 👸 of APHI 🫶 Ever think 🤔 you were born 👶 into the wrong generation⁉️ If so, the brothers of PHI SIG present 🍹Drinking Through The Ages 🕰️ Enjoy lava shots 🌋 from the Caveman Times 🦴, Fine Wine 🍷 with the Ancient Romans 🏛️, Oil shots ⛽️in the Industrial Revolution🏭🏗️ , Moscow Mules 🍸 🇷🇺 and Long Island Iced Teas 🥃🇺🇸 through the 🥶Cold War🧊, Spiked Sunny-D🍊☀️in Y2K 🌐, and MUCH🔊 MORE ‼️ Travel through time this👇FRIDAY (11/3)🗓️ from 🔟➡️2️⃣ at 825 Techwood Dr 🏡and have the TIME⌚️of your LIFE🎉"
Phi Sig,Alpha Phi,Football Game,Gameday,4pm,825 Techwood Dr ,"Greetings 👋🙋 to the extraordinary 🤩🙈🙉 ladies of APHI 😍🤪!! Homecoming 🏠 is right✅ around the corner 🔜™️, and the brothers 👦🧑of Phi Sig 🔛🔝🙌  are READY 🫡 to BALL OUT 🏀🏈! Come 🏃‍♀️💨 to the house (825 Techwood Drive) 🏡🏠 on gameday 🏈🏟️ at 4pm ⏱️⌚️⏳ and indulge 🍽️ in MAI TAIS 🍹🥂, DIRTY SHIRLEYS 🍸🍾, FOOD 🍔🌭, and SO MUCH MORE 🌟🙈! See 👀👁️ you 🫵 there!"
Phi Sig,Alpha Phi,Parents Weekend Football Game,Gameday,9am,825 Techwood Dr ,"Good morning 🌞☀️ to the fantastic ladies 💃🙆‍♀️🧘‍♀️ of APHI 🤩✨! Mom and Pops 👩👨 are IN TOWN 🏘️🏢 THIS WEEKEND 🗓️🗓️, and the brothers 🧑🧍 of Phi Sig 💪👊 are bringing in ALL THE GENERATIONS 👶👦🧑👨🧓 ON GAMEDAY 🗓️ at 9 am ⏱️⌚️! Come enjoy MAI TEIS 🍹🥂, MEMOSAS 🍸, FOOTBALL🏈, BURGERS 🍔, HOT DOGS 🌭, and so much more 📈📈! We’ll see👀👁️ you🫵 at Phi Sig (825 Techwood Drive NW 🏡🏠) on gameday 📆! ROLL DAMN BEES 🐝🐝🐝🐝🐝🐝!"
Phi Sig,Alpha Phi,Football Game,Gameday,9:45am,825 Techwood Dr ,"Buenos Dias🌻☀️ to the extravagant ladies👸 of APHI👋🤗😍! Football is back🏈 and Tech🐝🐝 fumbled the bag🙅‍♀️🙅‍♀️🧳 last week🗓️, but the brothers of Phi Sig 🙌💪 won’t let this L❌🙅‍♂️ hold us down👇⬇️📉! Come chill🥶☃️ with us on Game-Day🐝🏈 at 9️⃣:4️⃣5️⃣ as we prepare🔔 for the action🏃🏽‍♂️💨 with MAI-TAIS🍹🥂, FOOD 🍔🌭 and SO MUCH MORE🙌🙈🥳! We’ll see👀👁️ you at Phi Sig (825 Techwood Dr 🏡🏠) on Game-Day🐝🏈!"
"Phi Sigma Kappa, Delta Chi, AEPi",Alpha Phi,Joint Tailgate at Mercedes Benz,Gameday,"3:30, 4:00, 4:30",825 Techwood Dr ,"Hey you gorgeous ladies👸 of APHI😍🥰! Phi Sigma Kappa💪, Delta Chi🔥, and Alpha Epsilon Pi⚡️are hosting our FIRST 1️⃣ EVER joint tailgate 🍻at the Mercedes Benz Stadium 🏟️ for this week’s Louisville  game ‼️Come for the football 🏈 but stick around for the JELLO SHOTS 🥃🥮, MAI TAIS🍹, and FOOD🌭🍔 Lets start the season🍁 with a BANG💥 Come to Phi Sig (825 Techwood Dr 🏠💁‍♂️) for the buses 🚌 at 3:30, 4:00, or 4:30! ⏰ Go jackets and go y'all! 🐝💙💛"
